Slang,Formal
ketemuan,bertemu
menyebut,menyebut
kuingat,ku ingat
syurga,surga
scorer,pencetak gol
egonya,ego nya
jamaah,jamaah
location,lokasi
yaa,ya
tdk,tidak
uwa,saya
diboikot,di boikot
tyda,tidak
ditemani,di temani
intronya,into nya
ibuqu,ibu ku
muscala,muscala
helaaaawww,halo
hormat,hormat
sr,sr
apanya,apanya
konsul,konsultasi
jeroan,jeroan
dept,departemen
jatengdaruratkorupsi,jawa tengah darurat korupsi
ott,operasi tangkap tangan
lecet,lecet
tyoo,tyoo
umrohhaji,umroh haji
muahhhh,cium
jihad,jihad
sensara,sengsara
tumpahkan,tumpahkan
khatab,khatab
anas,anas
mercon,mercon
momnjogadingserpong,mom dan jo gading serpong
puisimalam,puisi malam
cengo,bingung
resfect,menghormati
tambahi,tambahi
sarewa,hati hati
blukusan,dadakan
perihal,perihal
akurapopo,aku tidak apa apa
dibanguninnya,di bangunkan
fake,palsu
tol,tol
setnya,set nya
keep,simpan
kosan,kosan
pt,perseroan terbatas
neymar,neymar
menular,menular
ikm,ikm
ngetes,menguji
trf,transfer
base,base
sela,sela
gita,gita
voucher,voucher
pengembalian,pengembalian
preview,pratinjau
hehhehee,tertawa
bersonasi,beresonansi
best,terbaik
no,tidak
qadar,qadar
hmm,bingung
ramai,ramai
tsygmc,tsygmc
pemilu,pemilihan umum
yaduuu,aduh
dibungkam,di bungkam
cian,kasihan
bullying,perundungan
beraniin,beraniin
pour,menuang
klen,kalian
bhsa,bahasa
untk,untuk
silahkan,silakan
warnaan,warna
ngomentarin,mengomentari
sbaik,sebaik
disinilah,di sini lah
ntah,entah
pegawai,pegawai
list,daftar
raesha,raesha
mia,mia
paragrafnya,paragraf nya
logikaku,logika ku
ditanyain,di tanyain
or,atau
owner,pemilik
ud,sudah
memandangmu,memandangmu
seluruhnya,seluruh nya
sekecil,sekecil
theory,teori
honor,menghormati
amp,dan
jdnya,jadinya
akang,akang
diubun,di ubun
kelebatan,kelebatan
jng,jangan
satunye,satu nya
tersiksa,tersiksa
nerimain,menerima
wozniacki,wozniacki
mamaku,mama ku
kaosnya,kaos nya
ashar,ashar
patnernya,mitra
patner,mitra
aph,apa
mengomentari,mengomentari
overload,kelebihan muatan
dimudahkan,di mudah kan
ibuhamil,ibu hamil
ntu,itu
fvcking,fucking
dtunggu,di tunggu
menyindir,menyindir
thnkng,berpikir
harasmen,kekerasan
rektor,rektor
sak,sampai
locked,terkunci
memakai,memakai
fyi,for your information
kaga,kagak
marahin,marahin
wklnya,wakil nya
gmana,gimana
satinah,satinah
melihara,memelihara
apagga,apa tidak
ngejer,mengejar
nu,nu
meninggalnya,meninggal nya
dikelola,di kelola
gada,tidak ada
sanggahan,sanggahan
pstw,panti sosial tenaga kesejahteraan sosial
jutek,bengis
diundang,di undang
palaur,takut
bahagiain,membahagiakan
serahin,serah kan
politis,politis
dik,adik
gueee,saya
tobio,tobio
daku,diri ku
rizieq,rizieq
jumat,jumat
kebetulan,kebetulan
eum,eum
ridhamu,ridha mu
ngeetiin,memahami
mampu,mampu
setres,stres
sepadan,sepadan
alh,almarhum
pidatonya,pidato nya
editing,editing
gerindrong,gerindrong
kog,kok
baradatu,baradatu
nggugu,mematuhi
in shaa,insya
terharu,terharu
cuekan,cuek an
campuran,campuran
kejamnya,kejam nya
menciumku,mencium ku
dah,sudah
examplenya,contoh nya
pahanya,paha nya
curhatan,curhatan
ilaihi,ilahi
didalamnya,di dalam nya
urab,urap
w,saya
evakuasi,evakuasi
kak,kakak
theyll,mereka akan
kamuuu,kamu
segenap,segenap
smbl,sambil
pisces,pisces
dibeliin,di beli kan
clara,clara
gmbira,gembira
menggemaskan,menggemaskan
tbh,kalau boleh jujur
kq,kaki
pembantu,pembantu
dikembalikan,dikembalikan
deadpool,deadpool
kani,kani
nyoblos,mencoblos
kemnpun,kemana pun
terjadikah,terjadikah
kemerosotan,kemerosotan
rupiahnya,rupiah nya
alasanku,alasan ku
nyentuh,menyentuh
banat,banat
ngeri,negeri
dapatkan,mendapatkan
telkomsel,telkomsel
dimandiin,dimandiin
bermoral,bermoral
setrong,kuat
delcont,menghapus kontak
kagem,untuk
jokowimembangunindonesia,jokowi membangun indonesia
magang,magang
mencuri,mencuri
terungkapkan,terungkap kan
ketabrak,tertabrak
bolt,bolt
dibidangnya,di bidang nya
tardiyana,tardiyana
jawabannya,jawaban nya
water,air
harusnyakan,seharusnya
langsir,langsir
ditungguin,ditungguin
ngmng,berbicara
tapi,tetapi
sirnas,sirkuit nasional
syuting,sunting
nanya,bertanya
irfan,irfan
identitas,identitas
maksimal,maksimal
qualitytime,quality time
dibuatkan,dibuatkan
lara,sedih
voicenya,suara nya
istimewa,istimewa
kontraksi,kontraksi
dimintai,dimintai
hijab,hijab
island,pulau
mbangun,membangun
dihitung,di hitung
dibawah,di bawah
greget,gereget
macet,macet
gituu,begitu
china,cina
ttt,ttt
recucle,daur ulang
tertunda,tertunda
disiapkan,disiapkan
bayangan,bayangkan
nongki,duduk santai
swt,swt
bapaaakk,bapak
thousand,seribu
ehmmm,ehmmm
dngn,dengan
siabg,siang
diinginkannn,di ingin kan
geblek,bodoh
ngeliatnya,melihat nya
anehnya,aneh nya
skenario,skenario
album,album
sweetie,kekasih
panpel,panitia pelaksana
kemarenan,kemarin
sepedaan,bersepeda
manismu,manis mu
stall,stall
kemungkinan,kemungkinan
dh,sudah
kejauhan,kejauhan
tht,telinga hidung tenggorokan
mhs,mahasiswa
king,raja
precious,berharga
asongan,asongan
auftttt,auftttt
bagaimana,bagaimana
berkahnya,berkah nya
govlox,bodoh
manisnya,manis nya
diburu,di buru
mengira,mengira
muhasabah,muhasabah
marahan,marah
escape,pelarian
mengenakkan,mengenakkan
manjanya,manja nya
sumpeh,sumpah
skrng,sekarang
tyap,tiap
smpe,sampai
lontong,lontong
sisasemalam,sisa semalam
perlakukan,perlakuan
mempertahankan,mempertahankan
mengasyikan,mengasyikkan
hiyak,hiyak
pengagum,pengagum
bangung,bangun
tergugah,tergugah
weker,weker
kadernya,kader nya
laluny,lalu nya
bngsat,bangsat
bonjour,halo
tubuhmu,tubuh mu
idamkan,idamkan
demen,demen
dian,dian
ngelawaq,melawak
ahaha,tertawa
pemarah,pemarah
empunya,empunya
berulangkali,berulang kali
disekitarnya,disekitar nya
estimasi,estimasi
temanantaraterfavorit,teman antara terfavorit
indomi,mie
malumalu,malu malu
diakhiri,diakhiri
pelipis,pelipis
perpus,perpustakaan
nyutnyutan,berdenyut
lobang,lubang
bapa,bapak
pakk,bapak
smile,senyum
sendiriantanpa,sendiri tanpa
kufur,kufur
sos,sos
memarahi,memarahi
ol,oleh
ngtap,menempelkan
tomi,tomi
menyerahkan,menyerahkan
disehatkan,di sehat kan
kebagian,kebagian
malaysia,malaysia
kalbis,kalbis
sininya,sini nya
orangyangkucintai,orang yang ku cintai
maunya,mau nya
keindahannya,keindahan nya
asai,asai
bertindak,bertindak
dicheck,di periksa
shower,mandi
soalny,karena
maintain,menjaga
ketemunya,ketemu nya
syariah,syariah
jwban,jawaban
umr,upah minimum regional
aih,aih
nista,nista
inovasi,inovasi
dyaar,dyaar
rsut,rumah sakit umum
kesiapapun,ke siapa pun
qolbi,qolbi
mbanya,mba nya
arief,arief
umurnya,umur nya
sekilo,sekilo
laknatullah,laknatullah
soft,halus
mungsuh,musuh
denganmu,dengan mu
kedudukan,kedudukan
porsi,porsi
hwaiting,semangat
naluri,naluri
sirup,sirup
national,nasional
mosque,masjid
hahahha,tertawa
menarique,menarik
mulailah,mulailah
kitu,kitu
bubble,gelembung
selebaran,selebaran
tukeran,tukaran
boy,boy
terangkanlah,terangkan lah
dudanya,duda nya
do,do
vocal,vokal
cintars,pencita
keriput,keriput
teduh,teduh
supportif,mendukung
sodaraw,saudara
digojek,di gojek
tercermin,tercermin
baeknya,baiknya
blabla,blabla
njenengan,anda
pangkodam,panglima komando daerah militer
kroscek,memeriksa kembali
peluklah,peluk lah
mengemis,mengemis
masku,mas ku
sekalisekali,sekali sekali
mba,mbak
ck,ck
nikmatnya,nikmat nya
brengsek,brengsek
rakan,rekan
cwek,cewek
kepler,kepler
eratnya,erat nya
keingetnya,keinget nya
headset,headset
purworejo,purworejo
kalangan,kalnagn
berpendar,berpendar
melihatmu,melihat mu
dihina,di hina
conspiracy,konspirasi
seragamkan,seragam kan
kobaran,kobaran
paketan,paketan
harassment,kekerasan
menantimu,menanti mu
spj,spg
tipssore,tips sore
seagresif,se agresif
chesecake,chesecake
barangny,barang nya
brutal,brutal
tupperware,tupperware
mikir,pikir
dinegara,di negara
dahh,dah
membenarkan,membenarkan
isterinya,istri nya
standart,standar
overcurated,terlalu dikuratori
ditiap,di setiap
childish,kekanak kanakan
informa,informa
stel,setel
blio,beliau
betapapun,betapapun
yoi,ya
nafas,napas
tajil,takjil
laz,laz
kesanggupannya,kesanggupan nya
motong,memotong
channel,saluran
beett,banget
untungnya,untung nya
sofi,sofi
menjauh,menjauh
iparnya,ipar nya
needle,jarum
indomaret,indomaret
utk,untuk
testing,menguji
rewel,rewel
krts,kertas
mengamandemen,mengamandemen
getwellsoonleeteuk,get well soon lee tuk
keada,keadaan
grow,tumbuh
mino,mino
langsing,langsing
blessings,berkat
kaka,kakak
softlens,softlens
hour,jam
pajama,piyama
ukk,uji kopetensi keahlian
meramal,meramal
blame,menyalahkan
inginku,ingin ku
menghalalkan,menghalalkan
pet,hewan peliharaan
lumayan,lumayan
gantipresiden,ganti presiden
asian,asia
ibumu,ibu mu
caramu,cara mu
tbm,tbm
kyknya,sepertinya
helen,helem
sit,duduk
sapardi,sapardi
putrinya,putri nya
keluarganya,keluarga nya
kampusnya,kampus nya
g,tidak
wes,sudah
sebiji,sebiji
ucp,ucap
inih,ini
memberantaskemiskinan,memberantas kemiskinan
kerumahku,ke rumah ku
berjiwa,berjuwa
diinik,diinik
berkala,berkala
klian,kalian
pdku,pada ku
juvia,juvia
berusaha,berusaha
tengil,tengil
berkutat,berkutat
pantes,pantas
komitmen,komitmen
rabumenggebu,rabu menggebu
bersenda,bersenda
berdampak,berdampak
pertamaku,pertama ku
sanah,sana
gowes,mengayuh
sepatunya,sepatu nya
terminal,terminal
qobul,qobul
talambat,terlambat
runningjourney,running journey
rom,room
skr,sekarang
kerasnya,keras nya
bulanbungkarno,bulan bung karno
wehh,weh
apollo,apollo
hahahhaa,tertawa
cubit,cubit
jyoti,jyoti
dicuci,di cuci
clear,bersih
capung,capung
life,hidup
difilm,di film
moroi,moroi
aduhaduh,aduh
pmbangunan,pembanguna
ketimuran,ketimuran
mensive,bulanan
drtd,dari tadi
blitar,blitar
judge,menilai
menjamin,menjamin
explorebanten,eksplorasi banten
nyolong,mencuri
pecinta,pecinta
knp,kenapa
apadaya,apa daya
ngajak,mengajak
sbnre,sebenarnya
drku,diri ku
bantunya,bantu nya
mengirimkan,mengirimkan
skip,lewat
phsyco,psikopat
mendaftar,mendaftar
park,taman
rm,rm
segitunya,segitu nya
sngt,sangat
persiapan,persiapan
deadline,tenggat waktu
didasari,berdasar
bngt,banget
preseden,presiden
disakitinya,di sakiti nya
bli,bli
melek,terbangun
sepupuku,sepupu ku
suapin,suap
kebuka,terbuka
shitpostingdivarposting,shitpostingdivarposting
ditelikung,di telikung
mslh,masalah
pengharhaan,penghargaan
eciye,eciye
tertarik,tertarik
kecilnya,kecil nya
seindah,seindah
pelarianku,pelarian ku
traveloa,traveloka
mimin,mimin
plastic,plastik
dirasain,di rasain
bibirnya,bibir nya
tulisanku,tulisan ku
cakung,cakung
